index;nom_chaine;groupe;logo
97;FR | NETFLIX ACTION;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
98;FR | NETFLIX ADVENTURE;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
99;FR | NETFLIX ROMANCE;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
100;FR | NETFLIX DRAMA;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
101;FR | NETFLIX COMEDY;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
102;FR | NETFLIX HORROR;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
103;FR | NETFLIX DOCUMENTARY;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
104;FR | NETFLIX SPORTS;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
105;FR | NETFLIX KIDS;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
106;FR | HALLOWEEN SAGA EVENT HD;ⓘTV ║ CINEMA;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qmM10m8KD5lxiKVS6LQgNXv8eGi.jpg
107;FR | HALLOWEEN COMIC EVENT HD;ⓘTV ║ CINEMA;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qmM10m8KD5lxiKVS6LQgNXv8eGi.jpg
108;▼●★ --- |FR| FRANCE TNT |FR| --- ★●▼;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FLAG_FRANCE.png
131;FR | SECRET STORY HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/SQOOL_TV.png
139;FR | SQOOL TV HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/SQOOL_TV.png
147;FR | PUISSANCE TELEVISION HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/PUISSANCETELEVISION.png
148;FR | MUSEUM HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/MUSEUM.png
149;▼●★ --- ||FR|| MY CANAL HD ||FR|| --- ★●▼;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FLAG_FRANCE.png
158;FR | CANAL+ GRAND ECRAN HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_GRAND_ECRAN_SD.png
161;▼●★ --- ||FR|| REGIONALES ||FR|| --- ★●▼;ⓘTV ║ FRANCE HD;https://redpluslogo.net/LOGO/TV_FRANCE_FHD/FLAG_FRANCE.png
162;FR | FR3 ALPES;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3alpes.png
163;FR | FR3 ALSACE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3alsace.png
164;FR | FR3 AQUITAINE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3aquitaine.png
165;FR | FR3 AUVERGNE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3auvergne.png
166;FR | FR3 BASSE-NORMANDIE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3bnormandie.png
167;FR | FR3 BOURGOGNE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3bourgogne.png
168;FR | FR3 BRETAGNE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3bretagne.png
169;FR | FR3 CENTRE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3centre.png
170;FR | FR3 CHAMPAGNE-ARDENNE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3champardenne.png
171;FR | FR3 CORSE VIA STELLA;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3corseviastella.png
172;FR | FR3 COTE-D;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3cotedazur.png
173;FR | FR3 FRANCHE-COMTE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3franchecomte.png
174;FR | FR3 HAUTE-NORMANDIE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3hnormandie.png
175;FR | FR3 HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_3.png
176;FR | FR3 LANGUEDOC-ROUSSILLON;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3languedocrou.png
177;FR | FR3 LIMOUSIN;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3limousin.png
178;FR | FR3 LORRAINE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3lorraine.png
179;FR | FR3 MIDI PYRENEES;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3midipyrenees.png
180;FR | FR3 NoA;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/noa.png
181;FR | FR3 NORD PAS-DE-CALAIS;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3nordpdc.png
182;FR | FR3 PARIS ILE-DE-FRANCE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3parisidf.png
183;FR | FR3 PAYS DE LOIRE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3paysdelaloire.png
184;FR | FR3 PICARDIE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3picardie.png
185;FR | FR3 POITOU-CHARENTES;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3poitouchar.png
186;FR | FR3 PROVENCE-ALPES;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3provalpes.png
187;FR | FR3 RHONE-ALPES;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/f3rhonealpes.png
188;FR | 20 MINUTES TV HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/20_MINUTES_TV.png
189;FR | TV8 MONT-BLANC;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TV8_MONT_BLANC.png
190;FR | FUEL TV HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_PORTUGAL/Fuel_TV.png
191;FR | LMTV SARTHE HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/LMTVSARTHE.png
192;FR | ALPE DHUEZ;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
193;FR | 7ALIMOGES HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
194;FR | AS TV HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
195;FR | ASTRO CENTER TV;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/ASTROCENTER_TV.png
196;FR | NA TV HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
197;FR | NOA HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/noa.png
198;FR | CANAL 31 HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
199;FR | CANAL ATLAS;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
200;FR | CANAL32 HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
201;FR | MOSELLE TV;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/MOSELE_TV.png
202;FR | MOSAIK CRISTAL HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
203;FR | MARITIMA TV;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
204;FR | MAURIENNE TV HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
205;FR | BIP TV HD;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/BIP_TV.png
206;FR | VIA TELE PAESE;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
207;FR | TV MONACO;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/
208;▼●★ --- ||FR|| OUTRE MER ||FR|| --- ★●▼;ⓘTV ║ FRANCE HD;
209;FR | OUTRE-MER 1ÈRE HD;ⓘTV ║ FRANCE HD;
210;FR | NOUVELLE-CALEDONIE 1ÈRE HD;ⓘTV ║ FRANCE HD;
211;FR | GUADELOUPE 1ÈRE HD;ⓘTV ║ FRANCE HD;
212;FR | GUYANE 1ÈRE HD;ⓘTV ║ FRANCE HD;
213;FR | MARTINIQUE 1ERE HD;ⓘTV ║ FRANCE HD;
214;FR | ANTENNE REUNION HD;ⓘTV ║ FRANCE HD;
215;FR | RTS UN EQUITAINE GUYANE HD;ⓘTV ║ FRANCE HD;
216;FR | RTS DEUX EQUITAINE GUYANE HD;ⓘTV ║ FRANCE HD;
217;FR | ZOUK TV HD;ⓘTV ║ FRANCE HD;
218;FR | FUSION TV HD;ⓘTV ║ FRANCE HD;
219;FR | TELE GINEN HD;ⓘTV ║ FRANCE HD;
220;FR | TÉLÉVISION NATIONALE TNH HD;ⓘTV ║ FRANCE HD;
221;FR | TELE ECLAIR HD;ⓘTV ║ FRANCE HD;
222;FR | TMA CARAIBES HD;ⓘTV ║ FRANCE HD;
223;FR | TELE CARAIBES HD;ⓘTV ║ FRANCE HD;
224;FR | CANAL TELEANTILLAS HD;ⓘTV ║ FRANCE HD;
225;▼●★ --- ||FR|| SPORTS ÉVÉNEMENTIELS - HQ ||FR|| --- ★●▼;ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/TV_SPORTS_FR_HD/FLAG_FRANCE.png
227;FR | CANAL+ ÉVENEMENT UHD HDR;ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/TV_SPORTS_FR_FHD/CANAL+_EVENEMENT.png
236;FR | CANAL+ FOOT UHD;ⓘTV ║ SPORTS FR;https://redpluslogo.net/LOGO/TV_SPORTS_FR_FHD/CANAL+_FOOT.png
244;▼●★ --- ||FR|| BEIN SPORT ||FR|| --- ★●▼;ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/TV_SPORTS_FR_HD/FLAG_FRANCE.png
261;▼●★ --- ||FR|| RMC SPORT ||FR|| --- ★●▼;ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/TV_SPORTS_FR_HD/FLAG_FRANCE.png
297;▼●★ --- ||FR|| SPORTS - HQ ||FR|| --- ★●▼;ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/TV_SPORTS_FR_HD/FLAG_FRANCE.png
325;FR | SPORT EN FRANCE FHD;ⓘTV ║ SPORTS FR;
326;FR | SPORT EN FRANCE HD;ⓘTV ║ SPORTS FR;
329;FR | MOTORVISON FHD;ⓘTV ║ SPORTS FR;
331;FR | JOURNAL DU GOLF FHD;ⓘTV ║ SPORTS FR;
332;FR | AUTO PLUS TV FHD;ⓘTV ║ SPORTS FR;
333;FR | AFTER FOOT TV FHD;ⓘTV ║ SPORTS FR;
334;FR | MULTISPORTS 1 HD;ⓘTV ║ SPORTS FR;
335;FR | MULTISPORTS 2 HD;ⓘTV ║ SPORTS FR;
336;FR | MULTISPORTS 3 HD;ⓘTV ║ SPORTS FR;
337;FR | MULTISPORTS 4 HD;ⓘTV ║ SPORTS FR;
338;FR | MULTISPORTS 5 HD;ⓘTV ║ SPORTS FR;
339;▼●★ --- ||FR|| DAZN EVENTS ||FR|| --- ★●▼;ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/TV_SPORTS_FR_HD/FLAG_FRANCE.png
340;FR | PPV EVENT;ⓘTV ║ SPORTS FR;
342;FR | DAZN COMBAT;ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/PLUTO.png
348;FR | DAZN EVENTS 6 HD (ONLY ON LIVE);ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/daznppvhd.png
349;FR | DAZN EVENTS 7 HD (ONLY ON LIVE);ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/daznppvhd.png
350;FR | DAZN EVENTS 8 HD (ONLY ON LIVE);ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/daznppvhd.png
351;FR | DAZN EVENTS 9 HD (ONLY ON LIVE);ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/daznppvhd.png
352;FR | DAZN EVENTS 10 HD (ONLY ON LIVE);ⓘTV ║ SPORTS FR;http://redpluslogo.net/LOGO/daznppvhd.png
353;FR | DAZN EVENTS 11 HD (ONLY ON LIVE);ⓘTV ║ SPORTS FR;
354;FR | DAZN EVENTS 12 HD (ONLY ON LIVE);ⓘTV ║ SPORTS FR;
